epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2749.26,0.45579,0.46952,0.87099,0.6165,0.67584,0.66014,0.50455,0.97894,1.41887,1.25712,0.000311379,0.000311379,0.000311379
81,2787.83,0.45547,0.47673,0.87759,0.64081,0.69722,0.67781,0.51221,0.96296,1.43078,1.24068,0.000297232,0.000297232,0.000297232
82,2825.59,0.45031,0.48793,0.89003,0.62981,0.68612,0.66737,0.50447,0.93783,1.44152,1.20427,0.000283085,0.000283085,0.000283085
83,2862.67,0.44031,0.46158,0.86679,0.63404,0.67848,0.67075,0.50549,0.94644,1.44014,1.20529,0.000268938,0.000268938,0.000268938
84,2899.47,0.46557,0.48209,0.87552,0.66863,0.6569,0.65679,0.49779,0.93804,1.46064,1.19578,0.000254791,0.000254791,0.000254791
85,2936.58,0.44876,0.47741,0.87254,0.64995,0.65633,0.65755,0.50954,0.92592,1.46818,1.18556,0.000240644,0.000240644,0.000240644
86,2975.46,0.4495,0.46261,0.87284,0.60859,0.69327,0.66509,0.51406,0.90741,1.42575,1.16907,0.000226497,0.000226497,0.000226497
87,3012.68,0.43127,0.45533,0.86058,0.59887,0.66775,0.66005,0.50222,0.90783,1.42172,1.16903,0.000212349,0.000212349,0.000212349
88,3049.62,0.43843,0.4565,0.86349,0.62702,0.65021,0.66489,0.50016,0.89956,1.43932,1.15908,0.000198202,0.000198202,0.000198202
89,3086.02,0.42048,0.43701,0.86254,0.62818,0.62365,0.65462,0.50136,0.89166,1.43381,1.15035,0.000184055,0.000184055,0.000184055
90,3122.28,0.45564,0.47412,0.88465,0.56998,0.69294,0.63188,0.48362,0.88589,1.44682,1.14452,0.000169908,0.000169908,0.000169908
91,3158.47,0.37158,0.45796,0.82129,0.55429,0.64457,0.6218,0.47602,0.8883,1.48509,1.15133,0.000155761,0.000155761,0.000155761
92,3195.66,0.3449,0.43294,0.82281,0.52274,0.70294,0.62821,0.486,0.90441,1.52442,1.16911,0.000141614,0.000141614,0.000141614
93,3230.81,0.36881,0.44802,0.83134,0.58941,0.56076,0.63932,0.49146,0.91792,1.53522,1.18281,0.000127467,0.000127467,0.000127467
94,3270.44,0.34864,0.41086,0.82043,0.64129,0.53369,0.62546,0.46988,0.93979,1.56451,1.20627,0.00011332,0.00011332,0.00011332
95,3305.72,0.3293,0.41033,0.81302,0.50831,0.6417,0.62078,0.46899,0.94383,1.57914,1.20517,9.91726e-05,9.91726e-05,9.91726e-05
96,3341.77,0.35295,0.43546,0.82032,0.79031,0.48578,0.61668,0.46541,0.95195,1.59145,1.20576,8.50255e-05,8.50255e-05,8.50255e-05
97,3377.42,0.35559,0.42405,0.83171,0.80303,0.4822,0.6156,0.46435,0.95363,1.5792,1.21184,7.08784e-05,7.08784e-05,7.08784e-05
98,3413.39,0.32438,0.4045,0.8076,0.60525,0.6006,0.62293,0.46571,0.93888,1.55568,1.20091,5.67313e-05,5.67313e-05,5.67313e-05
99,3450.47,0.30721,0.39399,0.81104,0.61689,0.59524,0.63164,0.46944,0.93986,1.54993,1.20068,4.25842e-05,4.25842e-05,4.25842e-05
100,3487.23,0.3068,0.3965,0.81204,0.5848,0.56737,0.62214,0.46931,0.92428,1.54535,1.18744,2.84371e-05,2.84371e-05,2.84371e-05
